model,task,accuracy,precision,recall,f1,num_samples,correct,char_precision,char_recall,char_f1,rouge1_f1,rouge2_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,classification,0.0,0.0,0.0,0.0,10,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,retrieval,0.9,,,,10,9.0,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,punctuation,,,,,10,,0.23254956763837176,0.8417162484336178,0.35812445959762174,0.0,0.0,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,nli,0.0,0.0,0.0,0.0,10,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,translation,,,,,10,,,,,0.0,0.0,0.0,0.19532760471575406
