year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1468,Ea0d6c7b15b2f,Q3d5044be7442,,소과,식년시,,
1469,E10655e97a352,Q64c86c70c467,,소과,증광시,,
1469,E3dbe09f2a24b,Q617afac3ba0a,,소과,증광시,,
1472,E5fd08d76a68f,Q15e3486f02a0,,소과,식년시,,
1472,E69aaf7c6fcb1,Qaaf2f43cd03a,,소과,식년시,,
1474,Ea27ec802aa2d,Qaf3b3e7c3094,,소과,식년시,,
1474,Ebfdfb8634f86,Q514937e7063c,,소과,식년시,,
1477,E96d19e1e5ba6,Q4336bfe8b9dc,,소과,식년시,,
1477,Eac090c5f4e0b,Qd3d47d135025,,소과,식년시,,
1480,E1b1381e2b46b,Q3238a73346c9,,소과,식년시,,
1480,Ee839eb80ad57,Qa3d27e41f8b0,,소과,식년시,,
1483,E7bf9df9e3b65,Q0dab88667db6,,소과,식년시,,
1483,E60afc9ed7cf9,Q572890648f39,,소과,식년시,,
1486,Ec6ab60465d27,Qfac34ab2f8e7,,소과,식년시,,
1486,Ee6ab9df779ef,Q246a62b8cb89,,소과,식년시,,
1489,E4108300eca4d,Q9c8e04fc19e5,,소과,식년시,,
1489,E4f3207cfda4d,Qd9110e980e39,,소과,식년시,,
1492,Ecdcd930c5557,Qa5ffa88347d2,,소과,식년시,,
1492,E977dbdfbad48,Q8e2d32fdcc5a,,소과,식년시,,
1447,Ee82e79e6c4de,Qd48e6ba9e2d5,전시,대과,식년시,,
1447,Eb049c7ef7367,Qe7ecccb9eef0,전시,대과,중시,箋,
1447,Ee7703892e8f3,Q1bbca82e39b3,전시,대과,친시,策,
1450,Ef75e6fb78205,Q427c75fde02c,전시,대과,식년시,策,
1451,E35e7aca02169,Q591d56df9ebe,전시,대과,증광시,策,
1453,Efb7617a8a71d,Qa1c8f67051f4,전시,대과,증광시,策,
1453,E7106b6b9d8de,Q23d70b6145ff,전시,대과,식년시,策,
1454,E595a8e1888bf,Q3512ef7eda18,전시,대과,알성시,策,
1456,E2c704ce444e2,Qf39eed817f79,전시,대과,식년시,策,
1457,E0084f91df6b1,Q350d1d6aaa17,전시,대과,알성시,策,
1457,E3a3601f315f9,Qc1b28c7a23c2,전시,대과,중시,策,
1457,E2736dd0e6298,Q69dc439094de,전시,대과,친시,策,
1458,Ee0d122364962,Qd260464944d1,전시,대과,알성시,策,
1459,E5b00a847a86a,Q254f4fbde4a8,전시,대과,식년시,策,
1460,Ea9625dd21940,Qb9fc1e56e811,전시,대과,춘당대시,講,
1460,E965d9b78a227,Q00a84aabcb36,전시,대과,별시,,
1460,E8b591b06c9e1,Q3bb28a7dcd83,전시,대과,별시,策,
1461,E8ee83a3579a7,Q5f9fa2968f23,전시,대과,별시,策,
1462,Ed33b2effb844,Q147a2ed0ccaf,전시,대과,알성시,策,
1462,E6891773be13c,Q1d3dca196054,전시,대과,식년시,策,
1464,E8550ba2ddaf7,Q72bb187a314e,전시,대과,온양별시,策,
1465,E44bb35374b3a,Q239086665353,전시,대과,식년시,策,
1465,E8ca53424320a,Q3f34b69dd039,전시,대과,별시,策,
1466,Ed076b95ca4f0,Q7023a91606e4,전시,대과,알성시,詩,
1466,E6e582b505658,Q7091c6e60ab7,전시,대과,중시,詩,
1466,Eea2d4081521a,Q092fe1c00a67,전시,대과,고성별시,策,
1466,Ea0e1fb3db119,Q5f362a50504a,전시,대과,발영시,詩,
1466,E097674c19b13,Q3460c82fdc27,전시,대과,등준시,策,
1468,Eae11ab2bd4a2,Q4b7dc5a69373,전시,대과,온양별시,策,
1468,Ea2fbf5eb60e4,Qac37b8fa610b,전시,대과,중시,策,
1468,E9f7e4f74d8bc,Q1c833c6dc0be,전시,대과,중시,策,
1469,Ed18d5f6ba115,Qa467a51c52be,전시,대과,증광시,策,
1469,Ed18d5f6ba115,Qa11b4133fc09,전시,대과,증광시,表,
1470,E67cd2ca2ad75,Qa8ae6b637e2f,전시,대과,별시,策,
1471,Ec6a8c5f5a0d3,Q46c5fbfc181f,전시,대과,별시,策,
1472,E3382347941db,Q6ed91dddcb9c,전시,대과,식년시,策,
1474,Ed1009df85749,Qcdfa2613fb9d,전시,대과,식년시,策,
1475,E5fc0136044e1,Q886fc7ab66c3,전시,대과,알성시,策,
1476,E689cd4e8e230,Qff16a4d1df47,전시,대과,별시,策,
