model,task,accuracy,precision,recall,f1,num_samples,correct,char_precision,char_recall,char_f1,rouge1_f1,rouge2_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,classification,0.0,0.0,0.0,0.0,80,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,retrieval,0.6333333333333333,,,,120,76.0,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,punctuation,,,,,200,,0.23622964790337825,0.8018781315208355,0.3558758862972193,0.0,0.0,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,nli,0.7189189189189189,0.7966520296039746,0.7189189189189189,0.7373761916331986,185,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,translation,,,,,200,,,,,0.07918555584690538,0.03333957528634123,0.06852902304884752,0.14444844488916966
