model,task,accuracy,precision,recall,f1,num_samples,correct,char_precision,char_recall,char_f1,rouge1_f1,rouge2_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,classification,0.0,0.0,0.0,0.0,80,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,retrieval,0.6333333333333333,,,,120,76.0,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,punctuation,,,,,200,,0.23989618927743897,0.8004466245534302,0.35894493248397696,0.0,0.0,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,nli,0.745945945945946,0.7967258889229247,0.745945945945946,0.7592266592266592,185,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,translation,,,,,200,,,,,0.0776019495182438,0.03382678139344625,0.06701328398518926,0.14528750501622475
