model,task,accuracy,precision,recall,f1,num_samples,correct,char_precision,char_recall,char_f1,rouge1_f1,rouge2_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,classification,0.0,0.0,0.0,0.0,80,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,retrieval,0.6416666666666667,,,,120,77.0,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,punctuation,,,,,200,,0.22061733782997844,0.7603427292560903,0.33192967380621885,0.0,0.0,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,nli,0.6918918918918919,0.7722144389250519,0.6918918918918919,0.7213869889016332,185,,,,,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,translation,,,,,200,,,,,0.07563179055345694,0.03018740499730854,0.06552317176617524,0.14182606458451055
